,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z
29,349,553108.912212,4182457.81831,553075.290015,4182424.30872,553036.416452,4182463.3129,553070.038649,4182496.8225,16.02,0,39.01
30,353,553035.027751,4182383.46707,553005.703849,4182353.91534,552972.952767,4182386.41393,553002.276669,4182415.96566,25.75,0,39.01
31,360,552729.853716,4182097.02108,552644.355202,4181996.34244,552591.408115,4182041.30627,552676.906628,4182141.98491,13.6,0,39.01
32,361,552980.449268,4182415.26809,552961.386052,4182395.87169,552930.656586,4182426.0733,552949.719802,4182445.4697,14.38,0,39.01
33,369,553065.047538,4182501.28808,553024.693983,4182460.7015,552977.726454,4182507.39938,553018.080009,4182547.98595,8.18,0,39.01
34,370,553161.958042,4182441.00439,553141.248,4182420.19648,553109.169159,4182452.12443,553129.879202,4182472.93234,32.05,0,39.01
35,373,553058.152338,4182324.9163,553025.492328,4182291.78063,553000.290143,4182316.62104,553032.950153,4182349.75671,17.32,0,39.01
36,380,552797.48192,4182312.80363,552764.239301,4182279.20502,552715.252017,4182327.67327,552748.494636,4182361.27188,26.61,0,39.01
37,392,552696.221316,4182367.81561,552674.532717,4182345.63569,552650.664406,4182368.97529,552672.353005,4182391.1552,23.83,0,39.01
38,394,552941.920518,4182371.64295,552903.662355,4182334.19396,552878.082487,4182360.32654,552916.340649,4182397.77553,28.82,0,39.01
39,395,552729.576962,4182186.22063,552663.455685,4182121.70311,552586.669476,4182200.39805,552652.790752,4182264.91557,17.26,0,39.01
40,403,552771.254579,4182147.47848,552731.950242,4182107.67311,552682.03004,4182156.96497,552721.334377,4182196.77034,26.62,0,39.01
41,404,552989.373003,4182389.07239,552959.299016,4182358.26492,552934.586812,4182382.38876,552964.6608,4182413.19623,27.86,0,39.01
42,408,553098.703704,4182172.76716,553073.736379,4182147.32221,553032.851624,4182187.43953,553057.818949,4182212.88447,36.1,0,39.01
43,412,553088.572927,4182365.13845,553068.874893,4182345.56246,553036.467356,4182378.17205,553056.16539,4182397.74804,8.14,0,39.01
44,417,552953.23099,4182356.82854,552921.153792,4182325.21135,552900.225375,4182346.44426,552932.302572,4182378.06145,24.45,0,39.01
45,454,553253.414653,4182448.89744,553200.377184,4182395.49319,553169.886092,4182425.77486,553222.92356,4182479.17912,27.84,0,39.01
46,457,553090.208586,4182331.41487,553064.196002,4182305.02018,553013.194617,4182355.28325,553039.207201,4182381.67793,21.38,0,39.01
47,474,552863.574589,4182377.84299,552835.532379,4182350.08494,552803.624058,4182382.31991,552831.666268,4182410.07796,29.83,0,39.01
48,480,552778.158228,4182293.53857,552749.014485,4182264.10668,552700.11471,4182312.5277,552729.258453,4182341.9596,25.33,0,39.01
49,488,553151.356546,4182312.93641,553077.559073,4182237.78618,553028.622728,4182285.84163,553102.420201,4182360.99187,30.75,0,39.01
50,490,553095.828812,4182336.81978,553075.923728,4182316.87358,553043.888011,4182348.84326,553063.793095,4182368.78946,11.71,0,39.01
51,495,553155.610522,4182434.76192,553136.840434,4182416.01329,553104.944417,4182447.94582,553123.714506,4182466.69445,19.28,0,39.01
52,525,553130.169279,4182408.83939,553109.776989,4182388.17218,553077.592464,4182419.92858,553097.984755,4182440.59579,21.24,0,39.01
53,534,553283.892468,4182384.14549,553233.415065,4182331.70217,553196.172343,4182367.54879,553246.649746,4182419.99212,25.92,0,39.01
54,550,552738.917788,4182358.63756,552713.678034,4182333.40994,552682.005081,4182365.09812,552707.244835,4182390.32574,20.37,0,39.01
55,553,552919.93061,4182267.55309,552875.437879,4182222.66152,552825.299348,4182272.35459,552869.792079,4182317.24616,36.65,0,39.01
56,570,552955.689748,4182422.98388,552925.023483,4182392.20119,552900.435429,4182416.69626,552931.101693,4182447.47894,24.74,0,39.01
57,572,553083.430337,4182360.00692,553063.134513,4182339.82774,553030.779659,4182372.36961,553051.075483,4182392.5488,8.88,0,39.01
58,581,553118.968421,4182193.52608,553084.539067,4182159.29835,553051.160767,4182192.87326,553085.590121,4182227.101,17.91,0,39.01
59,586,552807.174008,4182322.4988,552783.419326,4182298.46281,552734.345017,4182346.96278,552758.099699,4182370.99877,24.98,0,39.01
60,608,552905.201585,4182147.68689,552886.207774,4182128.50993,552837.332065,4182176.91884,552856.325876,4182196.0958,11.16,0,39.01
61,612,552734.329453,4181908.19493,552693.506904,4181867.14491,552632.897434,4181927.41851,552673.719983,4181968.46854,16.67,0,39.01
62,647,552917.630397,4182348.5155,552893.594211,4182324.98762,552845.209064,4182374.41809,552869.24525,4182397.94597,27.26,0,39.01
63,663,552946.735613,4182175.32783,552908.782073,4182136.81397,552887.20549,4182158.07665,552925.15903,4182196.59051,10.82,0,39.01
64,690,552780.14352,4181852.26043,552744.769581,4181816.59878,552683.290647,4181877.58172,552718.664586,4181913.24337,14.14,0,39.01
65,691,553183.317209,4182261.32679,553154.354721,4182232.173,553108.258265,4182277.96698,553137.220752,4182307.12077,39.01,0,39.01
66,696,552875.180384,4182222.79762,552855.000594,4182202.81264,552806.553778,4182251.73172,552826.733567,4182271.71669,20.87,0,39.01
67,720,552820.698761,4182488.61987,552791.765832,4182459.17242,552771.535841,4182479.04895,552800.46877,4182508.4964,14.03,0,39.01
68,744,553086.813038,4182162.15938,553044.473262,4182119.78838,553003.067372,4182161.16376,553045.407148,4182203.53476,16.77,0,39.01
69,750,552946.698278,4182105.08864,552884.248385,4182042.34834,552833.322917,4182093.03809,552895.77281,4182155.77839,24.69,0,39.01
70,755,552816.703337,4181885.6528,552752.875623,4181830.95872,552599.150836,4182010.35476,552662.97855,4182065.04884,19.69,0,39.01
71,773,553169.540272,4182412.22654,553134.054414,4182376.28491,553084.455449,4182425.25493,553119.941306,4182461.19655,25.63,0,39.01
72,828,553106.065771,4182348.00087,553086.774839,4182328.58162,553055.13402,4182360.01335,553074.424953,4182379.43261,7.43,0,39.01
73,836,552920.826635,4182390.54103,552884.526561,4182353.95444,552853.573847,4182384.66475,552889.87392,4182421.25135,28.33,0,39.01
74,843,553070.477379,4182240.2138,553037.245824,4182206.29359,552994.217414,4182248.44842,553027.448969,4182282.36863,20.16,0,39.01
75,14,552709.473667,4183125.00361,552658.854412,4183116.55029,552653.87737,4183146.35328,552704.496625,4183154.8066,18.84,1,37.5
76,119,552680.3771,4183139.02408,552652.81139,4183134.61189,552646.654914,4183173.07527,552674.220623,4183177.48745,17.02,1,37.5
77,126,552925.490312,4183604.34761,552432.558944,4182684.02585,552357.022107,4182724.48395,552849.953474,4183644.80571,18.3,1,37.5
78,147,552455.069904,4183093.44209,552419.242615,4183087.3113,552413.691232,4183119.75258,552449.518522,4183125.88338,10.55,1,37.5
79,169,552464.578391,4183151.39104,552437.703218,4183146.74904,552431.120915,4183184.85777,552457.996089,4183189.49976,17.45,1,37.5
80,173,552621.673069,4183159.95677,552411.597249,4183123.67039,552401.910074,4183179.75319,552611.985894,4183216.03956,19.09,1,37.5
81,175,552704.986764,4183145.60881,552660.44378,4183137.73589,552654.069178,4183173.80173,552698.612162,4183181.67466,10.27,1,37.5
82,178,552613.520776,4183157.84817,552587.05246,4183153.85558,552581.489793,4183190.73247,552607.95811,4183194.72507,32.56,1,37.5
83,190,552459.258185,4183102.93954,552433.879304,4183098.60902,552427.38874,4183136.64674,552452.767621,4183140.97726,11.41,1,37.5
84,191,552612.086893,4183109.13296,552583.387126,4183104.45193,552577.703038,4183139.30153,552606.402805,4183143.98256,31.61,1,37.5
85,202,552506.894577,4183092.20538,552473.266884,4183086.57037,552467.20729,4183122.73184,552500.834982,4183128.36685,18.15,1,37.5
