id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1554404884.475172,2132.8485617878555,1930.8415378260543,7.20959997177124,12.023947954177856,10,0.2,65.71,552528,4181963,552751,4183657
1554404941.245132,2274.71050023862,1979.9302751137552,8.523746967315674,11.970956087112427,10,0.2,65.71,552528,4181963,552751,4183657
1554404983.150154,2014.066680651615,1846.2852807049617,8.96380877494812,13.642457962036133,10,0.2,65.71,552528,4181963,552751,4183657
1554405068.531704,2372.4701147459436,2041.9281442774256,4.338835000991821,7.594969034194946,25,0.2,65.71,552528,4181963,552751,4183657
1554405104.148571,1957.9106557474493,1754.4581265963457,6.260880947113037,10.539824962615967,25,0.2,65.71,552528,4181963,552751,4183657
1554405136.101327,2180.747120192014,1916.601109384373,4.841590166091919,8.47200894355774,25,0.2,65.71,552528,4181963,552751,4183657
1554405199.762644,2218.6640456868313,1875.8545685356348,2.19176983833313,5.8935370445251465,50,0.2,65.71,552528,4181963,552751,4183657
1554405233.367696,2841.5928764845235,2300.2260271075634,4.981809854507446,7.811614990234375,50,0.2,65.71,552528,4181963,552751,4183657
1554405556.810989,2338.2309382102485,2135.5050962915384,2.337247133255005,5.626514196395874,50,0.2,65.71,552528,4181963,552751,4183657
1554405664.600643,2522.167545763984,2246.607543044233,2.502364158630371,5.160597085952759,75,0.2,65.71,552528,4181963,552751,4183657
1554405742.40933,2269.306973042652,1959.710444908127,1.4132602214813232,4.561999082565308,75,0.2,65.71,552528,4181963,552751,4183657
1554405806.76142,1972.9755625633065,1872.7889916747363,1.26904296875,4.7780210971832275,75,0.2,65.71,552528,4181963,552751,4183657
1554405851.180354,2336.6002942233476,1862.0449316334639,1.9390239715576172,4.819451808929443,100,0.2,65.71,552528,4181963,552751,4183657
1554405863.320549,2560.55914942415,2218.146089057927,2.6924009323120117,5.841665029525757,100,0.2,65.71,552528,4181963,552751,4183657
1554405874.336272,2444.265204333514,2329.908701317105,1.2641689777374268,3.69943904876709,100,0.2,65.71,552528,4181963,552751,4183657
1554405906.270141,2685.2808646195454,2401.0108216020535,4.28461217880249,8.135415077209473,125,0.2,65.71,552528,4181963,552751,4183657
1554405920.295674,2518.38974092662,2094.5394578310884,2.8090248107910156,3.9331789016723633,125,0.2,65.71,552528,4181963,552751,4183657
1554405930.388291,2335.3978799743363,2204.5788588215496,6.179465055465698,10.135716199874878,125,0.2,65.71,552528,4181963,552751,4183657
1554405964.917112,2233.263246585234,2147.5727537274415,0.4474048614501953,3.157287836074829,150,0.2,65.71,552528,4181963,552751,4183657
1554405972.732261,3870.1003426042785,3130.098601972715,2.6170101165771484,6.5089311599731445,150,0.2,65.71,552528,4181963,552751,4183657
1554405983.251883,2402.2114101691213,2065.4487823227855,2.348644971847534,4.868349075317383,150,0.2,65.71,552528,4181963,552751,4183657
1554406003.276999,2230.3377180854363,1937.0564293638558,1.486781120300293,4.702308893203735,175,0.2,65.71,552528,4181963,552751,4183657
1554406016.674762,2224.5041271551404,1922.0082489213587,3.846407890319824,7.215826034545898,175,0.2,65.71,552528,4181963,552751,4183657
1554406028.488918,3317.778741702738,2753.176289753705,1.4630990028381348,3.816805839538574,175,0.2,65.71,552528,4181963,552751,4183657
