index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height
75,552554.2761039656,4183550.460503362,552551.431115471,4183564.197026478,552530.8819766544,4183559.9410686195,552533.726965149,4183546.2045455035,8.42
76,552606.5695504202,4182555.975661554,552620.0243718172,4182546.5027676267,552629.5599077959,4182560.0465626386,552616.1050863988,4182569.519456566,8.79
77,552791.1876342227,4183201.575610906,552777.926114019,4183199.601465347,552780.4762537859,4183182.470646449,552793.7377739896,4183184.4447920076,99.11
78,552385.4444787928,4183253.232489521,552388.3314390816,4183235.8279922954,552399.2717671557,4183237.6427124958,552396.384806867,4183255.0472097215,24.66
79,552996.5022382229,4182374.486177588,552975.0376987664,4182395.8983946107,552951.7473379069,4182372.551121926,552973.2118773633,4182351.138904903,29.37
80,553008.763413483,4182686.2793815564,552984.2769492664,4182710.4840322463,552943.2610495319,4182668.9905864606,552967.7475137485,4182644.7859357707,27.58
81,552803.6483999639,4182924.834860535,552807.7377834533,4182899.5485591087,552847.6649367412,4182906.005709116,552843.5755532518,4182931.292010542,18.27
82,552586.7410023047,4183592.5096974797,552589.8527676653,4183572.814954618,552626.8715328901,4183578.663911983,552623.7597675296,4183598.3586548446,51.78
83,552839.0057886536,4182094.5959554017,552888.0164951733,4182144.023332321,552849.6025416623,4182182.1134580597,552800.5918351426,4182132.6860811403,28.66
84,553462.9493657949,4183096.4232067764,553410.0744250016,4183148.8029292226,553373.4749763119,4183111.857455055,553426.3499171052,4183059.477732609,100.74
85,553015.4430732848,4182766.6670555985,552980.4975936709,4182800.9670337504,552947.097064703,4182766.9379303223,552982.042544317,4182732.6379521703,16.96
86,552582.2807964224,4183531.600327886,552633.3770242333,4183540.4354392826,552626.940872309,4183577.657730004,552575.8446444981,4183568.8226186074,17.75
87,552957.5348141374,4183571.745002142,552973.0618757581,4183478.858627826,553005.6456559169,4183484.305394008,552990.1185942962,4183577.191768324,82.59
88,552936.1714184383,4183409.5993997618,552942.6950829839,4183370.217089574,552982.0251687283,4183376.73210316,552975.5015041827,4183416.114413348,5.31
89,553469.1726677909,4182690.2997237155,553448.9403360009,4182710.4495935775,553438.1389343434,4182699.603987942,553458.3712661334,4182679.45411808,15.7
90,552450.4955303738,4182682.424829068,552478.9018563662,4182687.188063616,552476.1423518521,4182703.644818792,552447.7360258597,4182698.8815842443,21.04
91,552408.2822435619,4183438.2027433603,552449.9293555401,4183445.18853785,552443.6471446017,4183482.6411057455,552402.0000326235,4183475.6553112557,53.68
92,552314.7453814216,4182275.790226375,552308.8081625936,4182311.7969503114,552271.1371852219,4182305.585309494,552277.0744040499,4182269.5785855576,32.84
93,552657.412760468,4183270.156396454,552650.8921734133,4183311.5841415254,552621.188100088,4183306.9088207795,552627.7086871427,4183265.4810757083,18.79
94,552891.502586407,4183259.706989933,552772.4009302211,4183226.5931359385,552785.4288423936,4183179.7352281683,552904.5304985795,4183212.8490821626,52.01
95,552404.9949558096,4182711.715375956,552414.1411743774,4182657.663010375,552458.2635191006,4182665.1289668456,552449.1173005328,4182719.1813324266,19.37
96,552304.7191684559,4182532.7733182195,552297.0402277764,4182579.8014565376,552258.7852820489,4182573.5550374906,552266.4642227284,4182526.5268991725,13.88
97,552864.1021116455,4183388.112508737,552880.6944872334,4183391.2804620387,552876.5679374781,4183412.8935531746,552859.9755618902,4183409.725599873,19.5
98,552680.4869417233,4183569.555905506,552675.1015788955,4183600.1813219176,552658.8197011154,4183597.3182157255,552664.2050639432,4183566.692799314,17.19
99,553209.1181280785,4182738.2196263527,553177.0846375863,4182769.29518819,553163.2592778776,4182755.0436508856,553195.2927683699,4182723.9680890483,137.57
100,553043.402215597,4183066.5033608223,553052.0443862127,4183014.5698737497,553103.850757461,4183023.1908912193,553095.2085868453,4183075.124378292,95.77
101,552729.2010245486,4182816.8353118617,552719.2958394957,4182868.20207367,552693.332963788,4182863.1955854404,552703.2381488408,4182811.828823632,13.8
102,552884.3804284037,4183391.9090265506,552901.5219060009,4183395.0189689603,552897.6075275099,4183416.5943624475,552880.4660499127,4183413.484420038,52.03
103,552377.6762720402,4183371.6020665914,552387.7474741334,4183309.345651046,552430.5879499245,4183316.275942256,552420.5167478314,4183378.5323578017,41.8
104,552740.2665633996,4183283.9118665857,552689.4107597381,4183275.2359123398,552697.2337023269,4183229.380203438,552748.0895059884,4183238.056157684,21.08
105,552308.162959995,4182630.159198203,552290.3977304266,4182627.4938551635,552297.4901317101,4182580.2210894767,552315.2553612784,4182582.8864325164,35.11
106,552275.3600175119,4182593.5554179875,552270.1846491508,4182624.106635297,552244.7515812137,4182619.7982801246,552249.9269495747,4182589.2470628154,27.42
107,552938.4900575979,4182704.364083913,552963.8316065478,4182729.0796952285,552948.3049965126,4182744.9995259466,552922.9634475627,4182720.283914631,43.3
108,553400.8403535269,4182552.10257507,553434.0619976639,4182524.706655693,553455.0004126697,4182550.0976112774,553421.7787685327,4182577.493530655,14.87
109,552451.1245518181,4183584.2033258984,552456.6462017278,4183552.784618607,552483.8922954301,4183557.572956632,552478.3706455204,4183588.9916639235,14.69
110,552443.7346317938,4183184.459262145,552448.7232142956,4183153.4180370434,552466.2104795127,4183156.2283857,552461.2218970109,4183187.2696108017,12.73
111,553270.1937672736,4183431.293449714,553456.6105391437,4183561.8977295933,553427.4006259353,4183603.5902203135,553240.9838540652,4183472.985940434,27.33
112,552847.653933378,4182902.46917282,552808.4397007072,4182896.134927362,552812.1523401804,4182873.150609958,552851.3665728512,4182879.4848554158,157.7
113,553033.9609486798,4182812.705336594,552982.4446291283,4182863.914015649,552946.1091475913,4182827.360245615,552997.6254671428,4182776.1515665604,21.82
114,553494.4853224831,4182993.6979685584,553529.1200205565,4183028.7324077897,553512.5840415899,4183045.0797120826,553477.9493435165,4183010.0452728514,15.31
115,552614.7383714188,4183383.000506243,552569.2732838674,4183375.62739278,552573.1538077487,4183351.698782582,552618.6188953001,4183359.071896045,42.41
116,552804.7493861804,4182517.6632709997,552847.8693429905,4182474.8330058246,552880.0916272902,4182507.2732324176,552836.9716704802,4182550.1034975927,38.51
117,552824.1906756721,4182477.959320569,552806.273800828,4182495.5625113714,552784.4601302538,4182473.3601271594,552802.3770050979,4182455.7569363564,27.26
118,552852.2773455353,4182374.340583686,552893.6679055875,4182332.0558082117,552910.5598373993,4182348.5905186413,552869.1692773472,4182390.8752941154,35.91
119,552824.1316528395,4182451.395091675,552837.5214575413,4182465.0323816137,552817.1296121231,4182485.0541622527,552803.7398074213,4182471.416872314,12.56
120,553182.8205047427,4182264.64040383,553162.3379213265,4182285.2858982114,553149.771252681,4182272.818391547,553170.2538360972,4182252.1728971656,11.47
121,552616.5586132291,4183516.492589823,552611.4371179729,4183546.781057407,552592.9212753505,4183543.6502024075,552598.0427706067,4183513.361734824,13.66
122,553058.1477020213,4183458.6376099675,553054.6576867411,4183482.1337642935,553038.5477884703,4183479.740870957,553042.0378037505,4183456.244716631,38.48
123,552263.5924115195,4182675.590688484,552254.5574824006,4182726.844306917,552204.176882842,4182717.9632725646,552213.2118119609,4182666.7096541314,93.78
124,552796.446043326,4182762.681319844,552866.6594890817,4182774.2081874134,552859.0694096943,4182820.4415308726,552788.8559639386,4182808.914663303,18.26
125,552650.3384673295,4183445.260044569,552645.7446461195,4183473.6772946706,552610.465883878,4183467.9742683163,552615.0597050879,4183439.557018215,5.31
126,553395.0192725854,4182660.2181708952,553408.1510089177,4182639.5563411834,553422.4313523674,4182648.6322898054,553409.2996160351,4182669.2941195183,41.42
127,552539.611523333,4182329.1992147686,552495.74436962,4182372.5417258693,552471.3695321777,4182347.8718414153,552515.2366858907,4182304.529330314,12.42
128,552278.6823326525,4182603.8768986957,552283.2838610228,4182577.3581550037,552300.6984127114,4182580.379925363,552296.0968843411,4182606.898669055,22.25
129,552626.1469935022,4183163.82811947,552595.0932557866,4183158.3022363633,552603.2739001205,4183112.3295694473,552634.3276378361,4183117.855452554,63.46
130,552905.7911755575,4182668.5243058475,552874.1536440656,4182636.7303209146,552895.0988169296,4182615.8882161113,552926.7363484215,4182647.6822010437,52.4
131,552947.9648891434,4182301.6255822857,552906.168527161,4182343.7788565187,552878.3814842228,4182316.227086788,552920.1778462052,4182274.073812555,15.4
132,552752.6412249813,4182661.913171874,552746.9624707643,4182701.757519457,552730.9732470035,4182699.478679989,552736.6520012205,4182659.634332406,14.3
133,553032.8625567378,4183478.8819382894,553036.375768178,4183455.2462557936,553051.9522455774,4183457.5615457627,553048.4390341372,4183481.1972282585,72.45
134,552985.0537852879,4183408.596341212,553080.1321507479,4183424.5697889333,553074.3670245189,4183458.885409961,552979.2886590589,4183442.9119622395,15.5
135,552555.7883284303,4183340.694139024,552561.6452407242,4183306.875942645,552583.977032042,4183310.743545212,552578.120119748,4183344.5617415905,177.56
136,553271.0084627029,4183060.0193093037,553316.1582194297,4183016.0460357917,553348.087287155,4183048.829349954,553302.9375304282,4183092.8026234666,13.74
137,553010.7426265809,4183472.8176222923,552993.7973152515,4183469.9333445886,552997.5069239881,4183448.139161985,553014.4522353174,4183451.0234396886,12.9
138,553135.6899410498,4182385.015020109,553092.1652517561,4182427.601715384,553074.4838626008,4182409.5308844754,553118.0085518945,4182366.9441892,17.15
139,552941.3058599685,4182382.661151027,552964.2284832131,4182405.775566027,552950.6170576045,4182419.274050892,552927.6944343599,4182396.1596358917,120.98
140,552922.4595014567,4183272.1716228463,552908.456810888,4183354.9232576103,552860.4318073579,4183346.7967805215,552874.4344979266,4183264.0451457575,18.26
141,552832.7749602532,4182594.0290880026,552815.9149907914,4182577.2081717877,552836.2945702823,4182556.781276875,552853.1545397441,4182573.60219309,88.76
142,552838.2876887419,4182277.288399649,552796.5663560003,4182318.719099125,552764.9722503701,4182286.903363202,552806.6935831117,4182245.4726637253,107.89
143,552784.4669151797,4183042.9036437776,552776.8160153382,4183089.5032768245,552722.5341478932,4183080.5910793697,552730.1850477348,4183033.9914463228,19.83
144,552672.2578556084,4183579.1293986537,552669.2123962467,4183596.915848565,552635.8260966724,4183591.199327331,552638.8715560341,4183573.41287742,25.33
145,552707.1858138463,4182312.5615245868,552748.9980453474,4182271.1733953273,552771.1010404134,4182293.502878759,552729.2888089123,4182334.8910080185,31.43
146,552278.5989821114,4182260.4083506586,552312.3467824716,4182266.058043554,552308.9780932034,4182286.180527203,552275.2302928432,4182280.5308343074,13.88
147,552873.7034111905,4183412.279587084,552877.6578514598,4183390.6891570436,552894.2426774498,4183393.726785457,552890.2882371806,4183415.3172154976,21.88
148,552277.4895665572,4182456.6827829275,552246.882810882,4182451.2912418866,552249.6493475062,4182435.586138302,552280.2561031815,4182440.977679343,90.05
149,552685.6556984948,4182511.5582366446,552705.7260527022,4182532.1117140446,552678.5700293786,4182558.6294169314,552658.4996751712,4182538.0759395314,50.29
150,552440.747556656,4182342.820479453,552433.035841345,4182389.798044223,552399.7747745573,4182384.3379936805,552407.4864898684,4182337.3604289107,39.43
151,552297.4013254219,4182473.7409564564,552289.4820432279,4182520.8476497983,552259.1521112022,4182515.748771622,552267.0713933962,4182468.64207828,13.88
152,552498.0250706093,4182800.727857134,552524.498677294,4182805.050708787,552521.8114211133,4182821.5077535575,552495.3378144286,4182817.1849019043,8.06
153,553094.3610637803,4182342.4959477847,553069.3646261261,4182367.297841613,553056.7096628428,4182354.543613935,553081.7061004969,4182329.7417201074,10.02
154,553042.3770944944,4183611.110099611,553074.2929877439,4183567.390615345,553097.0220547565,4183583.983182449,553065.1061615071,4183627.702666715,21.44
155,552473.7118404721,4183354.7845748486,552517.0293736033,4183362.076652975,552511.7615477643,4183393.3694088054,552468.4440146331,4183386.077330679,171.8
156,552772.0977236795,4182717.319550621,552763.5684073603,4182768.964793298,552724.2254483487,4182762.467224017,552732.7547646678,4182710.8219813397,13.71
157,552438.4829649962,4183350.379365286,552433.125946815,4183380.839590505,552416.348961884,4183377.8890340775,552421.7059800653,4183347.4288088586,158.48
158,553088.8449663615,4183109.26445628,553076.9287703172,4183180.1645158245,553025.9550157469,4183171.5973403314,553037.8712117912,4183100.697280787,31.57
159,552792.910931113,4182399.8898196938,552836.3336227222,4182357.770918442,552865.3166914962,4182387.651157951,552821.8939998869,4182429.770059203,5.58
160,553391.0566190416,4182655.3657893958,553371.1780454407,4182675.503359101,553358.4225465364,4182662.911912988,553378.3011201373,4182642.774343283,35.25
161,552269.2181534739,4182517.236612384,552237.3920534418,4182511.974392156,552240.4885950232,4182493.2463956345,552272.3146950552,4182498.508615862,91.58
162,552493.0259510991,4182369.9426963516,552515.077325627,4182347.978666801,552538.1159817495,4182371.108941399,552516.0646072216,4182393.072970949,51.58
163,552952.4402386372,4182100.79711523,552983.1506203513,4182131.939889445,552932.3346906379,4182182.0502806343,552901.6243089237,4182150.907506419,15.85
164,553321.0216679671,4182739.7444798043,553335.8150730943,4182754.2490690406,553315.6555850394,4182774.809973531,553300.8621799122,4182760.3053842946,5.33
165,553417.7487874327,4182719.6347454265,553437.9808027574,4182699.485160223,553448.7821704156,4182710.3307152945,553428.5501550909,4182730.4803004977,37.5
166,552430.5871228667,4183285.06808897,552454.2920571959,4183289.011012873,552447.646641441,4183328.963380185,552423.9417071118,4183325.020456282,15.68
167,552987.4373972809,4183577.2821154967,553034.9068559227,4183585.355507009,553031.3245789165,4183606.418371348,552983.8551202748,4183598.3449798357,17.96
168,552802.7163380951,4183501.778212654,552851.2812671309,4183509.915453899,552847.8396659914,4183530.455721795,552799.2747369556,4183522.31848055,11.97
169,552716.0600707562,4183279.822308488,552740.2221295905,4183283.730187303,552733.8550556714,4183323.097225516,552709.6929968372,4183319.1893467014,55.39
170,552820.9667825759,4182221.198262344,552843.7466809545,4182198.335771255,552862.2923266878,4182216.8144192523,552839.5124283093,4182239.676910341,55.65
171,552982.1264771498,4183367.2601375333,552898.3919697166,4183353.474387634,552912.0446179672,4183270.5483382884,552995.7791254004,4183284.3340881877,37.28
172,552735.7260302366,4182446.6439968757,552671.9329498978,4182382.4234331837,552693.9524569286,4182360.5504987175,552757.7455372673,4182424.7710624095,75.2
173,552932.4065287083,4183096.1367523833,552967.3966235186,4183101.990563147,552963.550867881,4183124.9778717235,552928.5607730708,4183119.12406096,20.34
174,553032.7753550969,4182367.3385204757,553057.3857282824,4182342.556954692,553069.8950458793,4182354.979857145,553045.2846726938,4182379.7614229284,111.49
175,552772.9019936882,4183088.391959191,552769.3236865476,4183111.6638197084,552749.0797000036,4183108.5510818353,552752.6580071442,4183085.2792213177,13.87
176,553060.4190530847,4183483.242379273,553044.6833688957,4183480.8755851984,553048.2193842483,4183457.366306772,553063.9550684373,4183459.7331008464,22.76
177,552471.0134803533,4183089.7704322673,552465.5041993466,4183117.925590492,552449.0849908475,4183114.71274996,552454.5942718541,4183086.5575917354,50.08
178,552865.8868130338,4183055.474605567,552859.4049934987,4183094.7255940503,552826.3846944377,4183089.272696486,552832.8665139729,4183050.0217080023,12.33
179,552445.3675789861,4183135.259317671,552451.1600059407,4183107.17882847,552465.2983138409,4183110.0952703874,552459.5058868863,4183138.1757595884,56.69
180,552329.5159675642,4182207.9784749383,552375.3233178398,4182163.178665672,552403.4462973075,4182191.9341267413,552357.6389470319,4182236.733936008,10.22
181,553547.0510304035,4182632.9284546585,553582.2385916063,4182668.7980869794,553560.2937789615,4182690.3256128575,553525.1062177587,4182654.4559805365,13.39
182,552623.6625774303,4183446.5278849406,552628.2779977259,4183418.951669955,552644.2730724469,4183421.628759343,552639.6576521513,4183449.2049743286,101.8
183,552735.9184277419,4182530.9829604784,552693.7769936866,4182573.786141658,552658.48002246,4182539.034869806,552700.6214565153,4182496.2316886266,129.31
184,552652.6374074831,4182279.195748106,552707.2712197886,4182334.47264554,552664.9046254968,4182376.3463516994,552610.2708131913,4182321.0694542658,16.31
185,552427.7565913372,4183179.032461702,552432.5456510711,4183152.476853967,552446.7418522005,4183155.0370083377,552441.9527924665,4183181.5926160724,17.91
186,553085.5907380225,4182220.0460835397,553058.2323630846,4182192.8748039133,553084.5531871242,4182166.3727406077,553111.9115620621,4182193.5440202337,5.92
187,553385.3660519503,4182702.5407310827,553405.4554246056,4182722.8483589557,553394.4025179301,4182733.7824750682,553374.3131452748,4182713.4748471947,21.88
188,552383.5353096459,4182410.1674466203,552380.675065994,4182428.413566724,552346.6303363782,4182423.076748748,552349.4905800301,4182404.830628644,37.3
189,552533.2175860009,4182160.741858337,552554.7433045288,4182181.9725125004,552513.7736818164,4182223.5115324436,552492.2479632886,4182202.2808782803,20.34
190,552624.8708027249,4183591.037533634,552579.0886956173,4183583.7136844313,552582.7575666824,4183560.7792078434,552628.53967379,4183568.103057046,27.56
191,552647.6667869382,4183520.0261499076,552678.9732662474,4183525.541298373,552669.8014420691,4183577.6047243467,552638.4949627599,4183572.089575881,79.0
192,552788.8386564367,4182143.3193240482,552855.3547047982,4182209.7380943084,552771.7284074416,4182293.4868722134,552705.2123590801,4182227.068101953,21.24
193,553109.72770539,4182395.246857747,553123.0918728684,4182408.7903548656,553098.0290710372,4182433.5212997766,553084.6649035588,4182419.9778026575,23.79
194,552732.9732088187,4183588.73050045,552680.4373196688,4183579.4721731567,552688.1754053673,4183535.5628146282,552740.7112945172,4183544.8211419214,17.65
