id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y,,,,,,,,
1557021502,2340.991554,1887.716465,113.5938351,128.0615251,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,,
1557021661,2388.529232,1900.777754,135.5903399,149.0060408,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,,
1557021834,890,737.4946229,149.93313,152.0684409,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,,
1557022014,1903.336152,1682.408489,99.88430691,106.8265591,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,,
1557022150,2090.947104,1788.708052,118.132601,126.269207,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,,
1557022305,2246.991122,1861.394733,82.52961302,95.05301189,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,,
1557022417,2114.461101,1847.482152,74.75848889,85.16984105,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,,
1557022516,2378.973735,1859.731177,155.3744879,169.34196,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,,
1557022712,340,206.5422875,161.197227,164.5422239,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,,
1557022905,2265.977463,1878.477135,98.17306304,107.409373,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,,
1557023028,2422.424999,1859.491682,157.084012,172.4625051,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,,
1557023228,2291.40956,1860.749284,155.096076,169.477026,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,,
1557023428,2295.966292,1843.12351,88.54518604,96.13591909,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,,
1557023541,2146.11204,1832.421324,93.4318819,104.8598909,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,,
1557023664,2390.045497,1856.658055,138.795465,148.394552,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,,
1557023838,1240,962.4209712,159.3076892,171.8130422,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,,
1557024037,2202.306739,1843.73862,101.717001,116.24347,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,,
1557024175,2019.28999,1713.387241,76.12662792,88.90739703,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,,
1557024282,2050,1680.76132,117.4954412,132.4308422,10,0.1,13.95,552182,4182354,553533,4182497,,,,,,,,
