id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1557021501.913229,2340.991554142588,1887.716464560759,113.59383511543274,128.06152510643005,10,0.1,8.79,552182,4182354,553533,4182497
id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1557021660.781922,2388.529231897181,1900.7777542720683,135.5903398990631,149.0060408115387,10,0.1,8.79,552182,4182354,553533,4182497
id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1557021834.29254,890.0000000010173,737.494622877661,149.93313002586365,152.06844091415405,10,0.1,8.79,552182,4182354,553533,4182497
id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1557022014.132771,1903.3361522946286,1682.408488907739,99.88430690765381,106.82655906677246,10,0.1,8.79,552182,4182354,553533,4182497
1557022149.902128,2090.947103638051,1788.7080515024577,118.13260102272034,126.26920700073242,10,0.1,8.79,552182,4182354,553533,4182497
1557022304.73318,2246.9911215359552,1861.3947328844008,82.52961301803589,95.05301189422607,10,0.1,8.79,552182,4182354,553533,4182497
1557022416.542196,2114.4611013962335,1847.4821522881468,74.75848889350891,85.16984105110168,10,0.1,11.76,552182,4182354,553533,4182497
1557022516.020503,2378.9737352370244,1859.7311774307316,155.3744878768921,169.3419599533081,10,0.1,11.76,552182,4182354,553533,4182497
1557022712.409898,339.99999999953604,206.5422875481658,161.19722700119019,164.5422239303589,10,0.1,11.76,552182,4182354,553533,4182497
1557022904.846714,2265.9774626002286,1878.477135072152,98.17306303977966,107.40937304496765,10,0.1,11.76,552182,4182354,553533,4182497
1557023027.861281,2422.4249991102406,1859.4916817000308,157.08401203155518,172.4625051021576,10,0.1,11.76,552182,4182354,553533,4182497
1557023227.76927,2291.409559916416,1860.7492837377429,155.09607601165771,169.47702598571777,10,0.1,11.76,552182,4182354,553533,4182497
1557023428.293803,2295.9662921091276,1843.1235095429663,88.54518604278564,96.1359190940857,10,0.1,13.1,552182,4182354,553533,4182497
1557023540.914257,2146.112039677427,1832.421324357266,93.43188190460205,104.85989093780518,10,0.1,13.1,552182,4182354,553533,4182497
1557023663.973196,2390.0454968574986,1856.658055112221,138.7954649925232,148.39455199241638,10,0.1,13.1,552182,4182354,553533,4182497
1557023837.570968,1240.000000000277,962.4209711907162,159.3076891899109,171.81304216384888,10,0.1,13.1,552182,4182354,553533,4182497
1557024037.398097,2202.306739178539,1843.7386202200944,101.71700096130371,116.24346995353699,10,0.1,13.1,552182,4182354,553533,4182497
1557024175.340429,2019.2899897702798,1713.3872411731104,76.1266279220581,88.90739703178406,10,0.1,13.1,552182,4182354,553533,4182497
1557024282.032796,2050.0000000016234,1680.7613195438444,117.495441198349,132.4308421611786,10,0.1,13.95,552182,4182354,553533,4182497
1557024441.844428,2307.04141693247,1926.3407593018553,88.48627495765686,102.53558492660522,10,0.1,13.95,552182,4182354,553533,4182497
1557024560.047199,2603.9830565506995,2083.7178930544123,127.2642970085144,141.766361951828,10,0.1,13.95,552182,4182354,553533,4182497
1557024728.180663,1871.8362446230913,1638.6190666686591,46.51168084144592,53.855477809906006,10,0.1,13.95,552182,4182354,553533,4182497
1557024794.003876,2065.2718157105887,1680.517632210116,65.5955400466919,70.15848803520203,10,0.1,13.95,552182,4182354,553533,4182497
1557024884.616074,2461.7287384691936,1969.1308109688403,97.22968101501465,110.28791880607605,10,0.1,13.95,552182,4182354,553533,4182497
1557025010.921852,2061.8158900881426,1768.225060125855,73.35182595252991,80.62927389144897,10,0.1,15.7,552182,4182354,553533,4182497
1557025106.509897,2357.4486233689827,1865.3525368991495,83.87216210365295,93.85952997207642,10,0.1,15.7,552182,4182354,553533,4182497
1557025213.695613,1979.2698565108042,1720.7056827364504,51.36868715286255,61.86089205741882,10,0.1,15.7,552182,4182354,553533,4182497
1557025289.10051,2259.465525138679,1875.916779908605,60.87103199958801,72.93806099891663,10,0.1,15.7,552182,4182354,553533,4182497
1557025383.146812,2295.7388596685964,1990.500223130865,82.25336694717407,95.92965412139893,10,0.1,15.7,552182,4182354,553533,4182497
1557025497.557801,2396.3950790584745,1882.0708450431418,97.29388809204102,106.292809009552,10,0.1,17.55,552182,4182354,553533,4182497
1557025640.688103,2568.8949005052045,1825.7793034864783,77.26453113555908,87.97573614120483,10,0.1,17.55,552182,4182354,553533,4182497
1557025745.090641,2514.7372653216694,1959.5469575374084,83.13118886947632,95.19895696640015,10,0.1,17.55,552182,4182354,553533,4182497
