id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y,,,,,,,
1557016704,1928.359123,1826.780436,35.76386595,52.33390594,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,
1557017119,2128.72598,1835.853822,48.990587,65.31434011,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,
1557016773,2011.005515,1837.630939,61.57411098,80.21291709,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,
1557016926,1968.733287,1846.377012,70.908916,87.33119202,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,
1557017029,2149.676585,1950.716222,55.93515301,75.23080492,10,0.1,8.79,552182,4182354,553533,4182497,,,,,,,
1557017356,1767.662072,1621.045049,37.73610592,44.24760509,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,
1557017412,1897.125402,1739.831877,43.85007286,58.77159095,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,
1557017281,2006.844445,1868.38245,47.41701388,63.73235607,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,
1557017208,2103.857972,1872.115529,46.24410105,61.50531292,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,
1557017482,2022.854769,1883.152814,57.78768086,70.03492379,10,0.1,11.76,552182,4182354,553533,4182497,,,,,,,
1557017681,1687.618678,1555.353441,47.74457598,55.37774396,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,
1557017750,2021.228199,1839.170526,34.29075313,43.83070397,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,
1557017805,1999.056065,1844.212214,53.86098504,68.55252886,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,
1557017887,2066.680654,1864.178679,92.41792178,107.0263708,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,
1557017596,2107.882896,1926.784001,60.51501298,69.03150201,10,0.1,13.1,552182,4182354,553533,4182497,,,,,,,
1557018016,1965.714374,1763.088552,23.3888011,34.9591682,10,0.1,13.95,552182,4182354,553533,4182497,,,,,,,
1557018340,2017.84791,1833.070914,62.33657694,76.311059,10,0.1,13.95,552182,4182354,553533,4182497,,,,,,,
1557018171,2002.871414,1851.41064,60.18578005,73.96244907,10,0.1,13.95,552182,4182354,553533,4182497,,,,,,,
1557018259,2078.710067,1861.579442,55.73157191,69.12304997,10,0.1,13.95,552182,4182354,553533,4182497,,,,,,,
1557018063,2388.736492,2073.491845,77.9484489,90.08524084,10,0.1,13.95,552182,4182354,553533,4182497,,,,,,,
1557018501,1867.672454,1680.920687,33.85905409,45.52224994,10,0.1,15.7,552182,4182354,553533,4182497,,,,,,,
1557018615,1960.704637,1821.427983,42.19184899,49.19980502,10,0.1,15.7,552182,4182354,553533,4182497,,,,,,,
1557018677,2014.600327,1830.343678,33.315485,43.79149199,10,0.1,15.7,552182,4182354,553533,4182497,,,,,,,
1557018557,1957.946679,1831.399637,31.10183215,43.773525,10,0.1,15.7,552182,4182354,553533,4182497,,,,,,,
1557018430,2111.247148,1869.160527,45.41236305,58.03198695,10,0.1,15.7,552182,4182354,553533,4182497,,,,,,,
