index,x,y
509,18975,45128
510,21988,44967
511,24194,44762
515,33711,44773
517,35357,46252
527,49192,43812
529,51184,44943
530,53731,45076
531,56656,44599
532,57178,46446
533,59107,45044
534,2005,47599
535,4500,48000
536,7371,48028
537,11591,46652
538,10072,48705
539,13255,48020
540,16100,48000
541,18894,48080
542,21850,46500
543,22989,46661
544,21775,48831
545,23400,46600
547,24704,48880
549,26300,48328
552,27844,49448
555,31519,49127
556,32983,48899
558,36689,47810
561,38159,48990
573,51563,47125
574,52937,47054
575,55047,48583
577,56793,48076
578,59042,47988
579,2966,49533
581,2548,51466
582,4506,50904
583,7400,50900
584,10300,50900
585,13200,50900
586,16100,50900
587,18976,50868
588,21591,50666
589,23884,49788
590,25326,51561
591,27777,51204
592,30643,50924
593,33090,50789
596,39832,50644
597,40983,51278
606,55077,49588
612,57161,50300
616,59155,50817
617,1697,53943
618,4500,53800
619,7400,53800
620,10300,53800
621,13161,53785
622,16176,53770
623,18979,53828
624,21717,54001
625,24733,53556
626,27882,53635
627,30319,53733
628,33020,52385
630,32057,53507
639,42690,53729
641,44466,54266
652,54289,54523
655,56721,54362
656,59123,53958
657,1600,56700
658,4500,56700
659,7400,56700
660,10284,56664
661,13200,56700
662,16100,56700
663,19000,56700
664,21820,56766
665,24350,55277
666,24614,57115
667,28446,56764
668,26448,56423
669,29822,56523
672,29100,57950
683,43270,55516
686,45440,56293
690,46936,57696
694,54101,55608
696,54900,58050
697,57153,56287
698,56309,57960
699,59059,56707
700,1600,59050
701,4497,59048
702,7415,59038
703,10237,59125
704,13249,59004
705,16100,59050
706,19022,58966
707,21913,59036
708,24673,59083
709,27401,58927
710,29200,59250
712,29100,58150
713,30146,58903
725,46458,58191
728,48231,59035
732,49423,59630
734,54940,59017
737,56517,59081
738,59062,59046
