id,path length,runtime,step size,goal bias,altitude,origin,destination,search space,,,,,,,,,,,
1556582885,1528.629718,4.86165309,50,0.9,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582894,2069.981575,8.721709967,50,0.9,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582907,2378.411941,26.55094314,50,0.9,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582939,1457.800612,4.984403849,50,0.9,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583378,1802.211753,1.240846872,50,0,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583399,1863.161087,1.400444031,50,0,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583404,2012.185425,1.910339832,50,0,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583409,1991.869389,2.854830027,50,0,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583415,1918.868319,2.617820978,50,0,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583444,1787.880463,1.877789021,50,0.05,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583449,3588.965395,6.115658998,50,0.05,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583465,1779.608493,2.288351059,50,0.05,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583473,1815.784763,0.52737093,50,0.05,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583501,1907.26722,3.226038933,50,0.05,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583515,1771.134836,1.365257025,50,0.1,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583531,1806.35439,1.353503942,50,0.1,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583535,1761.217959,1.167136908,50,0.1,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
