id,path length,runtime,step size,goal bias,altitude,origin,destination,search space
1556583659.897029,1793.577439817324,2.988960027694702,50,0.7,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion
1556583671.159103,1644.441291489827,3.046699047088623,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion
1556583680.139775,1619.375408376763,2.644958019256592,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion
1556583685.27064,1775.2646825576594,3.7446541786193848,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion
1556583693.287887,1709.2769548796168,9.358519792556763,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion
1556583707.999826,1671.8815325102562,6.264575004577637,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion
1556583731.418858,1959.5392240061456,1.477543830871582,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583740.570827,1581.0539594267461,1.974942922592163,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583756.160061,1572.594659228584,3.8684542179107666,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583764.595219,1515.358184690941,2.2947890758514404,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583770.735241,2120.8885606266495,1.7296299934387207,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583791.349393,2208.419388070146,2.624389171600342,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583799.114225,1425.5286185144757,3.2841169834136963,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583807.351926,1501.829601123968,1.2238960266113281,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583812.791371,1701.422335643669,2.1027278900146484,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583818.063185,1808.1299507265974,4.220477104187012,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583829.940689,1453.5044194647799,1.4287059307098389,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583834.502633,1595.6517054313822,2.1529300212860107,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583840.773974,1513.1343554258224,2.0841469764709473,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583846.356047,1615.5871021345502,1.067270040512085,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583850.774359,1664.369933425814,3.009597063064575,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583863.784297,2165.879203208273,2.619935989379883,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583869.640968,1907.9754820596268,3.46439790725708,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583876.346806,2121.248150141748,1.6560628414154053,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583880.899424,1840.90071559207,4.3657708168029785,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583888.517348,1533.3825676635797,1.724334955215454,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583897.920315,2516.9539340291158,3.2026479244232178,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583907.972654,1511.790236652848,2.566736936569214,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583928.897461,1535.8078241986668,3.162290096282959,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
1556583936.053267,1929.3561635770645,7.908812999725342,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion
