index,x,y,connected
168,162.0907298,193.9526627,TRUE
169,190.8657487,190.2753873,TRUE
170,218.6043046,192.3228477,TRUE
171,214.5263158,177,FALSE
172,244.9652651,190.9085923,TRUE
173,261.8695652,193.826087,TRUE
174,278.6609499,189.8680739,TRUE
175,302.9926036,190.6863905,TRUE
176,337.1103253,189.3451202,TRUE
177,364.8978562,192.4211854,TRUE
178,392.921466,189.9057592,TRUE
179,421.8736501,189.4730022,TRUE
180,451,190,TRUE
181,480,190,TRUE
182,509,190,TRUE
183,538,190,TRUE
184,567,190,TRUE
185,590.5,190,TRUE
186,13.00227273,225.45,TRUE
187,25.42857143,211.5714286,FALSE
188,31,213,TRUE
189,46.05174353,219.5376828,TRUE
190,70.63951735,215.8612368,TRUE
191,104.607565,213.7565012,TRUE
192,131.2118644,205.7542373,TRUE
193,142.8083832,223.5508982,FALSE
194,122.7597765,227.5586592,TRUE
195,147.3846154,206.8076923,TRUE
196,168.7272727,216.8760331,TRUE
197,147.6470588,226.0147059,FALSE
198,191.8838028,224.4419014,TRUE
199,208.2194245,220.9928058,TRUE
200,232.0218978,215.9343066,TRUE
201,240.2417303,215.4910941,TRUE
202,257.993865,227.0368098,TRUE
203,281.672973,211.7,TRUE
204,274.7126437,228.4224138,TRUE
205,304.2840617,218.8598972,TRUE
206,339.3972835,221.1426146,TRUE
207,363.0034014,218.19161,TRUE
208,393.6856618,215.5404412,TRUE
209,381,233.1052632,TRUE
210,422.5236908,220.0199501,TRUE
211,451,219,TRUE
212,479.6734043,218.9319149,TRUE
213,510.7552534,218.3016069,TRUE
214,538,219,TRUE
215,567,219,TRUE
216,590.5,219,TRUE
217,16,248,TRUE
218,45,248,TRUE
219,66.72107438,248.3884298,TRUE
220,117.6666667,233.3333333,TRUE
221,108.8461538,257.5384615,FALSE
222,132.7096774,245.1225806,TRUE
223,142.5,233,FALSE
224,149,233,FALSE
225,164.9885321,252.912844,TRUE
226,190.0563063,246.9436937,TRUE
227,214.3530655,247.7780127,TRUE
228,233.6818182,239.5454545,TRUE
229,245.5345455,246.0854545,TRUE
230,261.2307692,262.1538462,TRUE
231,279.4622356,246.7779456,TRUE
232,263.5833333,262.1666667,TRUE
233,308.4095745,247.3031915,TRUE
234,301,263,TRUE
235,333.057931,246.7241379,TRUE
236,364.6082949,247.6728111,TRUE
237,382.1105769,247.7980769,TRUE
238,400.8608247,240.7731959,TRUE
239,395.1388889,256.0833333,FALSE
240,403.962963,262.0740741,TRUE
241,425.5689655,238.3586207,TRUE
242,407.3333333,246.8333333,TRUE
243,431.168,259.008,TRUE
244,408.5,262,TRUE
245,451.1684211,247.98,TRUE
246,480,248,TRUE
247,509,248,TRUE
248,538,248,TRUE
249,567,248,TRUE
250,590.5,248,TRUE
251,16,277,TRUE
252,45,277,TRUE
253,72.87383178,278.2780374,TRUE
254,102.4869432,280.2995392,TRUE
255,146.3333333,262.6666667,TRUE
256,125.4947368,284.1614035,TRUE
257,129.7727273,280.7727273,FALSE
258,147,285.5,FALSE
259,166.0764706,272.4215686,TRUE
260,149.627907,283.1627907,FALSE
261,164.5,292,TRUE
262,177.1756757,279.9932432,TRUE
263,198.8863636,275.5994318,TRUE
264,219,262,TRUE
265,204.5333333,280.3111111,TRUE
266,219.7687075,277.8503401,FALSE
267,233.625,290,TRUE
268,247.6554455,275.7267327,TRUE
269,265.4336283,270.460177,TRUE
270,284.1884498,272.5927052,TRUE
271,274.1428571,284.7857143,FALSE
272,284.4,291.2,FALSE
273,302.6460768,278.2871452,TRUE
274,311.2,262.4,TRUE
275,319.6956522,264.4782609,TRUE
276,336.8240741,275.9555556,TRUE
277,334,262,TRUE
278,325.4042553,290.3191489,TRUE
279,364.9075908,276.1617162,TRUE
280,351.5,292,FALSE
281,403.251462,270.5321637,TRUE
282,383.248927,281.7725322,TRUE
283,404.9215686,289.0980392,TRUE
284,423.0149942,277.6782007,TRUE
285,450.5339196,274.8241206,TRUE
286,480.175219,274.6095119,TRUE
287,510.6183206,273.7832061,TRUE
288,538,277,TRUE
289,567,277,TRUE
290,590.5,277,TRUE
291,15.78716578,305.9540107,TRUE
292,44.67305644,306.2055378,TRUE
293,60.58333333,291.8333333,TRUE
294,75.05902384,306.9330306,TRUE
295,102.8734177,306.1972574,TRUE
296,131.4978402,306.4481641,TRUE
297,167.9611111,296.55,TRUE
298,149.5493827,311.382716,TRUE
299,192.1626712,303.4058219,TRUE
300,215.8337662,309.8233766,TRUE
301,233.6666667,291.3333333,TRUE
302,213.8125,297.1875,FALSE
303,241.2615385,303.9846154,TRUE
304,259.6818182,298.1363636,FALSE
305,283.6341463,296.304878,FALSE
