,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z,
528,329,552572.0213,4183427.665,552541.0744,4183422.509,552534.7924,4183460.214,552565.7393,4183465.37,9.88,12,32.36,
330,146,553433.8747,4182671.697,553409.812,4182658.108,553395.8758,4182682.786,553419.9386,4182696.375,9.93,7,46.64,
265,600,553104.0114,4183582.887,553073.1992,4183560.397,553035.3901,4183612.196,553066.2023,4183634.686,10.02,5,31.34,
548,466,552558.3363,4183437.597,552509.3075,4183429.442,552504.9805,4183455.455,552554.0093,4183463.611,10.19,12,32.36,
335,260,553589.2962,4182668.876,553547.1322,4182625.852,553518.0544,4182654.349,553560.2184,4182697.373,10.22,7,46.64,
81,175,552704.9868,4183145.609,552660.4438,4183137.736,552654.0692,4183173.802,552698.6122,4183181.675,10.27,1,37.5,
541,407,552667.2484,4183369.985,552628.8659,4183363.382,552623.1263,4183396.746,552661.5088,4183403.349,10.31,12,32.36,
584,644,552604.0162,4183409.074,552570.7391,4183403.647,552564.5899,4183441.349,552597.8669,4183446.777,10.32,12,32.36,
575,585,552568.0053,4183551.255,552531.5842,4183545.156,552526.1859,4183577.393,552562.607,4183583.492,10.34,12,32.36,
576,599,552396.8275,4183474.458,552366.5947,4183469.252,552359.0151,4183513.265,552389.2479,4183518.472,10.46,12,32.36,
106,604,552452.9591,4183105.701,552417.7476,4183099.691,552411.9359,4183133.741,552447.1473,4183139.751,10.52,1,37.5,
78,147,552455.0699,4183093.442,552419.2426,4183087.311,552413.6912,4183119.753,552449.5185,4183125.883,10.55,1,37.5,
495,50,552668.1139,4183362.731,552633.7097,4183356.813,552629.0817,4183383.714,552663.4859,4183389.632,10.58,12,32.36,
605,824,552390.5216,4183520.497,552365.5331,4183516.873,552360.3449,4183552.649,552385.3333,4183556.273,10.61,12,32.36,
574,584,552428.0754,4183522.462,552390.6162,4183516.151,552383.6828,4183557.3,552421.1421,4183563.612,10.63,12,32.36,
257,530,553161.1105,4183415.157,553090.1467,4183405.114,553081.9759,4183462.847,553152.9397,4183472.89,10.65,5,31.34,
550,470,552586.3882,4183430.299,552552.2078,4183424.689,552546.0966,4183461.921,552580.277,4183467.531,10.67,12,32.36,
501,124,552553.0406,4183400.646,552515.2941,4183394.617,552509.285,4183432.243,552547.0315,4183438.271,10.75,12,32.36,
608,834,552603.975,4183552.906,552597.9526,4183500.667,552363.2577,4183527.724,552369.2802,4183579.963,10.78,12,32.36,
63,663,552946.7356,4182175.328,552908.7821,4182136.814,552887.2055,4182158.077,552925.159,4182196.591,10.82,0,39.01,
617,481,553602.3397,4182685.208,553579.5212,4182653.338,552517.1859,4183413.947,552540.0045,4183445.817,10.83,13,28.2,
593,748,552911.437,4183576.895,552382.3518,4183519.942,552378.6817,4183554.036,552907.767,4183610.989,10.84,12,32.36,
15,181,552963.3337,4182037.323,552926.4006,4182000.247,552877.6612,4182048.798,552914.5944,4182085.874,10.88,0,39.01,
60,608,552905.2016,4182147.687,552886.2078,4182128.51,552837.3321,4182176.919,552856.3259,4182196.096,11.16,0,39.01,
311,726,552865.8845,4183231.755,552842.7077,4183227.883,552835.4283,4183271.458,552858.6052,4183275.33,11.17,6,39.1,
505,195,552568.532,4183326.864,552528.0329,4183320.012,552523.1141,4183349.086,552563.6131,4183355.938,11.24,12,32.36,
120,740,552466.866,4183103.53,552439.3376,4183098.884,552432.5828,4183138.913,552460.1112,4183143.558,11.29,1,37.5,
619,621,552921.3196,4182185.196,552878.2082,4182175.249,552562.8221,4183542.171,552605.9335,4183552.118,11.3,13,28.2,
83,190,552459.2582,4183102.94,552433.8793,4183098.609,552427.3887,4183136.647,552452.7676,4183140.977,11.41,1,37.5,
553,478,552622.3227,4183512.396,552593.9467,4183507.597,552587.1574,4183547.746,552615.5334,4183552.544,11.47,12,32.36,
224,133,552888.4889,4183580.044,552867.4404,4183576.727,552864.1757,4183597.443,552885.2242,4183600.76,11.48,5,31.34,
581,619,552435.6881,4183481.661,552398.2808,4183475.42,552388.1319,4183536.252,552425.5391,4183542.493,11.51,12,32.36,
588,687,552618.0598,4183411.359,552584.3655,4183405.566,552577.8214,4183443.636,552611.5157,4183449.428,11.53,12,32.36,
26,308,553165.5628,4182424.108,553146.3885,4182405.74,553122.6307,4182430.542,553141.8051,4182448.909,11.6,0,39.01,
