552558.8447,4183221.733,258.49
552557.9853,4183221.676,258.49
552557.1289,4183221.768,258.49
552556.3009,4183222.005,258.49
552555.526,4183222.381,258.49
552554.8271,4183222.885,258.49
552554.225,4183223.501,258.49
552553.7374,4183224.211,258.49
552553.379,4183224.994,258.49
552553.1603,4183225.827,258.49
552544.1918,4183279.177,258.49
552544.1228,4183280.043,258.49
552544.2045,4183280.908,258.49
552544.4347,4183281.745,258.49
552544.8062,4183282.53,258.49
552545.3079,4183283.239,258.49
552545.9248,4183283.85,258.49
552546.638,4183284.345,258.49
552547.4263,4183284.71,258.49
552548.2657,4183284.932,258.49
552588.1662,4183291.78,258.49
552588.0069,4183292.658,258.49
552587.9298,4183293.44,258.49
552587.9762,4183294.225,258.49
552588.1449,4183294.993,258.49
552588.432,4183295.725,258.49
552588.8301,4183296.402,258.49
552589.3296,4183297.009,258.49
552589.918,4183297.53,258.49
552590.5808,4183297.953,258.49
552591.3016,4183298.266,258.49
552592.0626,4183298.463,258.49
552598.6816,4183299.624,258.49
552599.4639,4183299.699,258.49
552600.2482,4183299.651,258.49
552601.0152,4183299.48,258.49
552601.7459,4183299.191,258.49
552602.4224,4183298.791,258.49
552603.0278,4183298.29,258.49
552603.5473,4183297.701,258.49
552603.9681,4183297.037,258.49
552604.2796,4183296.315,258.49
552604.4743,4183295.554,258.49
552604.8409,4183293.366,258.49
552605.5242,4183292.869,258.49
552606.1122,4183292.262,258.49
552606.5878,4183291.563,258.49
552606.9368,4183290.793,258.49
552607.149,4183289.975,258.49
552616.434,4183235.7,258.49
552616.5054,4183234.91,258.49
552616.4508,4183234.119,258.49
552616.2718,4183233.346,258.49
552615.9728,4183232.611,258.49
552615.5614,4183231.933,258.49
552615.0478,4183231.328,258.49
552614.4451,4183230.812,258.49
552613.7684,4183230.398,258.49
552613.0348,4183230.097,258.49
552612.2626,4183229.915,258.49
552558.8447,4183221.733,258.49
552524.6338,4182947.846,241.23
