index,x,y,connected,
186,111.9,7.2,TRUE,
187,115.4545455,7.727272727,TRUE,
188,119.0869565,8.391304348,TRUE,
189,123.8571429,7.714285714,TRUE,
190,127.7272727,7.454545455,TRUE,
191,131.5,7.5,TRUE,
192,135,7.333333333,TRUE,
193,139.9090909,7.227272727,TRUE,
194,143.6470588,7.5,TRUE,
195,147.5,7.5,TRUE,
196,151.5,7.5,TRUE,
197,155.4857143,7.571428571,TRUE,
198,159.5,7.5,TRUE,
199,163.5,7.5,TRUE,
200,167.5,7.5,TRUE,
201,171.5,7.5,TRUE,
202,175.5,7.5,TRUE,
203,179.5,7.5,TRUE,
204,183,6.75,TRUE,
205,187.25,5.875,TRUE,
206,191.5,5.5,TRUE,
207,196.1111111,7.111111111,TRUE,
208,199.5,7.5,TRUE,
209,203.5,7.5,TRUE,
210,206.8928571,7.75,TRUE,
211,210.875,9.625,TRUE,
212,216.5238095,7.904761905,TRUE,
213,218.7142857,8.285714286,TRUE,
214,224.1111111,7.814814815,TRUE,
215,227.5,7.5,TRUE,
216,231.5,7.5,TRUE,
217,235.5,7.5,TRUE,
218,239.5,7.5,TRUE,
219,243.5,7.5,TRUE,
220,247.5,7.5,TRUE,
221,251.3823529,7.352941176,TRUE,
222,255.5625,7.1875,TRUE,
223,259.5428571,7.428571429,TRUE,
224,262.7,6.7,TRUE,
225,267.3636364,5.454545455,TRUE,
226,272.1851852,7.259259259,TRUE,
227,275.0357143,7.107142857,TRUE,
228,280,6.75,TRUE,
229,283,8.2,TRUE,
230,287.5,9,TRUE,
231,291.7142857,8.714285714,TRUE,
232,295.7857143,8.071428571,TRUE,
233,299.5,7.5,TRUE,
234,303.5,7.5,TRUE,
235,307.5,7.5,TRUE,
236,311.5,7.5,TRUE,
237,315.5,7.5,TRUE,
238,319.5,7.5,TRUE,
239,323,7.5,TRUE,
240,325,7.5,TRUE,
241,333.5,5,TRUE,
242,336.2692308,7.307692308,TRUE,
243,339.5,7.5,TRUE,
244,343.5,7.5,TRUE,
245,346.75,7,TRUE,
246,351.1,5.4,TRUE,
247,354,5,TRUE,
248,357,8,TRUE,
249,359.5,5,TRUE,
250,357.1666667,8.333333333,TRUE,
251,365.2307692,6.846153846,TRUE,
252,367.6470588,7.382352941,TRUE,
253,371.5,7.5,TRUE,
254,375.5,7.5,TRUE,
255,379.5,7.5,TRUE,
256,383.5,7.5,TRUE,
257,387.1,7.8,TRUE,
258,391.9615385,8.153846154,TRUE,
259,395.5,7.5,TRUE,
260,399.1,7.8,TRUE,
261,403.3529412,8.941176471,TRUE,
262,408,7.785714286,TRUE,
263,411.2142857,7.785714286,TRUE,
264,415.1578947,7.157894737,TRUE,
265,419.6315789,6.473684211,TRUE,
266,423.2142857,5.714285714,TRUE,
267,428.1764706,6.294117647,TRUE,
268,431.2592593,7.148148148,TRUE,
269,433.4285714,6.428571429,TRUE,
270,437,9.5,TRUE,
271,440.0714286,7.785714286,TRUE,
272,443.5,7.5,TRUE,
273,447.5,7.5,TRUE,
274,450.9285714,7.642857143,TRUE,
275,457.6666667,6.666666667,TRUE,
276,453.5,7,TRUE,
277,455.5,10,TRUE,
278,460.0357143,7.571428571,TRUE,
279,463,8.125,TRUE,
280,468,8,TRUE,
281,470.75,8,TRUE,
282,475.7857143,9.285714286,TRUE,
283,479.5,7.615384615,TRUE,
284,481.6666667,5.666666667,TRUE,
285,481.5,10,TRUE,
286,489.4545455,6.909090909,TRUE,
287,490.4210526,7.526315789,TRUE,
288,501,7.6,FALSE,
289,501.8888889,8,FALSE,
290,508.9375,7.0625,TRUE,
291,510.2857143,7.571428571,TRUE,
292,521.625,6.625,TRUE,
293,523.78125,7.28125,TRUE,
294,527.5,7.5,TRUE,
295,531,7.5,TRUE,
296,533,7.5,TRUE,
297,545.5,7.5,TRUE,
298,546.7777778,8.166666667,TRUE,
299,553.125,7.25,TRUE,
300,549,9.5,TRUE,
301,553.5,7.5,TRUE,
302,562,6,TRUE,
303,564.6,6.733333333,TRUE,
304,567.4193548,7.580645161,TRUE,
305,571.7083333,7.958333333,TRUE,
306,575.5,7.5,TRUE,
307,579.5,7.5,TRUE,
308,583.2,7.9,TRUE,
309,587.7741935,7.838709677,TRUE,
310,591.5,7.5,TRUE,
311,595.5,7.5,TRUE,
312,598.5,7.5,TRUE,
313,3.689655172,12,TRUE,
314,7.5,11.5,TRUE,
315,11.5,11.5,TRUE,
316,15.5,11.5,TRUE,
317,19.5,11.5,TRUE,
318,23.36363636,11.27272727,TRUE,
319,27.5,11.1875,TRUE,
320,31.24,10.76,TRUE,
321,35.76,11.52,TRUE,
322,39.61764706,11.64705882,TRUE,
323,43.5,11.5,TRUE,
324,47.27272727,11.54545455,TRUE,
325,50.4,11.2,TRUE,
326,53.5,9,TRUE,
327,56.92857143,11.85714286,TRUE,
328,59.64705882,11.55882353,TRUE,
329,63.5,11.5,TRUE,
330,67.5,11.5,TRUE,
331,71.51428571,11.57142857,TRUE,
332,75.25,11.75,TRUE,
333,79.09090909,12.40909091,TRUE,
334,81.8,13.6,TRUE,
335,89.75,11,TRUE,
336,91.48148148,11.03703704,TRUE,
337,95.36842105,10.10526316,TRUE,
338,100,10.96153846,TRUE,
339,101.9411765,11.47058824,TRUE,
340,112.6363636,11.31818182,TRUE,
341,114.7142857,10.71428571,TRUE,
342,120.15,10.45,TRUE,
343,123.5806452,11.58064516,TRUE,
344,127.5714286,11.57142857,TRUE,
345,131.5,11.5,TRUE,
346,135.3636364,11.72727273,TRUE,
347,139.625,11.8125,TRUE,
348,143.5,11.5,TRUE,
349,147.2068966,11,TRUE,
350,151.68,10.68,TRUE,
351,155.6470588,11.38235294,TRUE,
352,159.5,11.5,TRUE,
353,163.2068966,11.10344828,TRUE,
354,167.78125,11.28125,TRUE,
355,171.5,11.5,TRUE,
356,175.2727273,11.36363636,TRUE,
357,178.8235294,10.29411765,TRUE,
358,181.5,9.5,TRUE,
359,185,14,TRUE,
360,188,13.66666667,TRUE,
361,191.5,13.5,TRUE,
362,196.1538462,11.88461538,TRUE,
363,199.5,11.5,TRUE,
364,203.5,11.5,TRUE,
365,207.4285714,11.57142857,TRUE,
366,211.4193548,11.90322581,TRUE,
367,215.6176471,11.64705882,TRUE,
368,219.5,11.5,TRUE,
369,223.5,11.5,TRUE,
370,227.5,11.5,TRUE,
371,231.5,11.5,TRUE,
372,235.5,11.5,TRUE,
373,239.5,11.5,TRUE,
374,243.5,11.5,TRUE,
375,247.2727273,11.36363636,TRUE,
376,250.5,10.375,TRUE,
377,255.75,9.25,TRUE,
378,260.3478261,11.04347826,TRUE,
379,261.6153846,11.69230769,TRUE,
380,269.375,12.625,TRUE,
381,271.8387097,11.77419355,TRUE,
382,274.4347826,11.60869565,TRUE,
383,281.2142857,11.85714286,TRUE,
384,283.5,11.5,TRUE,
385,287.5,11.5,TRUE,
386,291.1612903,11.29032258,TRUE,
387,295.8947368,10.36842105,TRUE,
388,299.7272727,11.36363636,TRUE,
389,303.5,11.5,TRUE,
390,307.5,11.5,TRUE,
391,311.5,11.5,TRUE,
392,315.5,11.5,TRUE,
393,319.5,11.5,TRUE,
394,323.2727273,11.63636364,TRUE,
395,325.3333333,12,TRUE,
396,331,11,FALSE,
397,336.4,11.6,TRUE,
398,339.5,11.5,TRUE,
399,343.5,11.5,TRUE,
